event_id,event_type,timestamp_created,timestamp_processed,trade_id,counterparty_id,instrument_id,exchange_id,client_id,pipeline_stage,region,status,trade_volume,trade_price
e7380ed4-5331-4621-840c-3c80cee88aff,TRADE,2025-12-20T09:15:00,2025-12-20T09:15:00.128758,2648d6c0-2dc6-45c8-b2b5-8036b7d689ae,CP1,Instrument.Future,ASX,1001,INITIAL,AU,SUCCESS,100,20
6bcd37f1-4aa2-4a96-a445-e095056c4495,TRADE,2025-12-20T09:15:02.564988,2025-12-20T09:15:02.666601,8cab4d68-31b3-4140-9b88-cbcf290df6ae,CP1,Instrument.Future,ASX,1002,INITIAL,AU,SUCCESS,100,20
55bdb97a-05a4-4548-b0ed-9985a67f5486,TRADE,2025-12-20T09:15:05.198873,2025-12-20T09:15:05.320500,be1ae74e-1c1d-4751-a3d6-1d0e7c69ff3f,CP1,Instrument.Future,ASX,1002,INITIAL,AU,SUCCESS,100,20
fb57830c-42e6-4d03-8950-0a238575825c,TRADE,2025-12-20T09:15:06.431485,2025-12-20T09:15:06.520430,9fccbb2f-1a8a-4076-b918-72b103cee1fc,CP1,Instrument.Stock,ASX,1003,INITIAL,AU,SUCCESS,100,20
cc2505b0-11c7-4d62-a15b-11e09fdba16e,TRADE,2025-12-20T09:15:07.461212,2025-12-20T09:15:07.520957,4bac89ea-3531-4e77-865c-80025e71c07b,CP1,Instrument.Stock,ASX,1003,INITIAL,AU,SUCCESS,100,20
10a164d0-29f4-4088-baa8-4f627d0e7e92,TRADE,2025-12-20T09:15:09.486562,2025-12-20T09:15:09.580911,b844db35-38a9-4055-adf7-ec1e527c8bbd,CP1,Instrument.Stock,ASX,1000,INITIAL,AU,SUCCESS,100,20
9849ec3e-7ba5-4ec8-9c9d-2518f731102e,TRADE,2025-12-20T09:15:11.358891,2025-12-20T09:15:11.425069,1885a707-d448-4d62-bb7d-4ac4ccb02fc0,CP1,Instrument.Option,ASX,1003,INITIAL,AU,REJECTED,100,20
65155e0e-6f36-4bf4-8d94-d3b2fd09cf9d,TRADE,2025-12-20T09:15:14.223965,2025-12-20T09:15:14.343001,5144f8cb-083f-47b3-b96e-9403645449e6,CP1,Instrument.Stock,ASX,1002,INITIAL,AU,SUCCESS,100,20
c6684e6c-f541-4a72-8740-99d25d9f157d,TRADE,2025-12-20T09:15:16.705235,2025-12-20T09:15:16.814676,9d4abfc2-1073-4956-969d-f4801c8013e3,CP1,Instrument.Option,ASX,1003,INITIAL,AU,SUCCESS,100,20
1f02b996-03b0-46a9-b1f8-9df1df2faf40,TRADE,2025-12-20T09:15:19.497038,2025-12-20T09:15:19.563338,f3e82739-91b8-41b1-bb61-2074c145d141,CP1,Instrument.Stock,ASX,1000,INITIAL,AU,REJECTED,100,20
1f3210d8-f15a-449b-8f5c-416e29ebe56a,TRADE,2025-12-20T09:15:21.154472,2025-12-20T09:15:21.296401,bd4b778a-1628-4a69-a841-3491c24935c5,CP1,Instrument.Future,ASX,1001,INITIAL,AU,SUCCESS,100,20
